Dagsetning,Smit_Innanlands,Smit_Erlendis,Smit_Annad,Smit_Samtals,Ny_Smit,IE_Smit
02-27-2020,0,0,0,0,0,0
02-28-2020,0,1,0,1,1,0
02-29-2020,0,3,0,2,1,0
03-01-2020,0,6,0,4,2,0
03-02-2020,0,11,0,12,8,0
03-03-2020,0,26,0,17,5,0
03-04-2020,0,34,0,30,13,0
03-05-2020,3,40,0,39,9,0
03-06-2020,7,43,0,47,8,0
03-07-2020,10,45,0,53,6,0
03-08-2020,10,50,0,59,6,0
03-09-2020,16,54,0,68,9,0
03-10-2020,20,65,0,82,14,0
03-11-2020,22,87,0,106,24,0
03-12-2020,30,98,0,122,16,0
03-13-2020,49,112,0,142,20,0
03-14-2020,60,121,0,166,24,0
03-15-2020,70,128,0,186,11,9
03-16-2020,90,,,208,12,10
03-17-2020,142,,,261,48,5
03-18-2020,,,,338,69,8
03-19-2020,,,,415,63,14
03-20-2020,,,,473,57,1